"Id.Proceso.CNA","Institución","Estado de acreditación","Años de acreditación","Duración del programa (trimestres)","¿Tiene inclusión o diversidad en el perfil de egreso?","¿Tiene ramos de inclusión?","Cantidad de ramos de inclusión","Carrera"
"PREG-00132-03-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-00141-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",6,20,"Si","No",0,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-00168-05-00","UNIVERSIDAD ARTURO PRAT","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-00122-05-00","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","Acreditada",5,20,"Si","Si",2,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-00256-05-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",4,20,"Si","Si",3,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-01221-04-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN"
"PREG-00133-03-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",4,20,"No",,,"PEDAGOGÍA EN MATEMÁTICA Y COMPUTACIÓN"
"PREG-00143-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",5,8,"Si","No",0,"PEDAGOGÍA PARA PROFESIONALES"
"PREG-00198-04-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",3,20,"Si","Si",5,"PEDAGOGÍA EN COMUNICACIÓN EN LENGUA INGLESA"
"PREG-00199-03-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",4,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN FÍSICA, DEPORTES Y RECREACIÓN"
"PREG-00458-04-00","UNIVERSIDAD DE LA FRONTERA","Acreditada",6,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN FÍSICA, DEPORTES Y RECREACIÓN"
"PREG-00201-03-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",5,20,"No","Si",2,"PEDAGOGÍA EN LENGUAJE Y COMUNICACIÓN"
"PREG-00332-04-00","UNIVERSIDAD DE ANTOFAGASTA","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN LENGUAJE Y COMUNICACIÓN"
"PREG-02032-02-00","UNIVERSIDAD CENTRAL DE CHILE","Acreditada",3,20,"No","Si",3,"PEDAGOGÍA EN LENGUAJE Y COMUNICACIÓN"
"PREG-01980-02-00","UNIVERSIDAD DE O HIGGINS","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN LENGUAJE Y COMUNICACIÓN"
"PREG-00203-05-00","UNIVERSIDAD AUSTRAL DE CHILE","Acreditada",4,12,"Si","Si",2,"PROGRAMA DE FORMACIÓN DE PROFESORES PARA LA EDUCACIÓN TÉCNICO PROFESIONAL"
"PREG-00214-05-00","UNIVERSIDAD BERNARDO O HIGGINS","Acreditada",3,18,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA CON MENCIÓN"
"PREG-00273-04-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA CON MENCIÓN"
"PREG-00233-04-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",6,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN LENGUAJE Y COMUNICACIÓN"
"PREG-00772-04-00","UNIVERSIDAD SAN SEBASTIÁN","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN LENGUAJE Y COMUNICACIÓN"
"PREG-00239-04-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN BIOLOGÍA Y CIENCIAS NATURALES"
"PREG-01254-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA MEDIA EN CIENCIAS NATURALES Y BIOLOGÍA"
"PREG-00265-04-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",7,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN ESPECIAL"
"PREG-00101-05-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",7,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN ESPECIAL"
"PREG-02053-01-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",3,20,"Si","Si",7,"PEDAGOGÍA EN EDUCACIÓN ESPECIAL"
"PREG-01022-04-00","UNIVERSIDAD CATÓLICA DEL NORTE","Acreditada",4,16,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA CON ESPECIALIZACIÓN"
"PREG-00278-04-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",4,18,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICAS Y COMPUTACIÓN"
"PREG-00489-05-00","UNIVERSIDAD DE LA SERENA","Acreditada",3,,,,,"PEDAGOGÍA EN MATEMÁTICAS Y COMPUTACIÓN"
"PREG-00279-05-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",,20,"Si","Si",2,"PEDAGOGÍA EN RELIGIÓN Y FILOSOFÍA"
"PREG-00290-05-00","UNIVERSIDAD CATÓLICA DEL NORTE","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN FILOSOFÍA Y RELIGIÓN"
"PREG-00292-06-00","UNIVERSIDAD CATÓLICA DEL NORTE","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN MATEMÁTICA EN EDUCACIÓN MEDIA"
"PREG-00314-05-00","UNIVERSIDAD CENTRAL DE CHILE","Acreditada",4,20,"Si","Si",5,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL E INTEGRAL DE NECESIDADES EDUCATIVAS ESPECIALES"
"PREG-01984-02-00","UNIVERSIDAD DE O HIGGINS","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-00622-04-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",3,20,"No","Si",1,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-01037-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-00460-04-00","UNIVERSIDAD DE LA FRONTERA","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-00546-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,18,"Si","No",0,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-00333-04-00","UNIVERSIDAD DE ANTOFAGASTA","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN MATEMÁTICA"
"PREG-00345-05-00","UNIVERSIDAD DE ATACAMA","Acreditada",3,18,"No","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN EDUCACIÓN FÍSICA"
"PREG-00346-06-00","UNIVERSIDAD DE ATACAMA","Acreditada",4,18,"No","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN INGLÉS"
"PREG-00382-03-00","UNIVERSIDAD DE CHILE","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICAS Y FÍSICA"
"PREG-00425-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN CIENCIAS NATURALES Y FÍSICA"
"PREG-00431-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",7,20,"Si","Si",1,"PEDAGOGÍA EN ESPAÑOL"
"PREG-00457-04-00","UNIVERSIDAD DE LA FRONTERA","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN CIENCIAS, MENCIÓN BIOLOGÍA, QUÍMICA O FÍSICA"
"PREG-00459-05-00","UNIVERSIDAD DE LA FRONTERA","Acreditada",7,20,"Si","Si",1,"PEDAGOGÍA EN HISTORIA, GEOGRAFÍA Y EDUCACIÓN CÍVICA"
"PREG-00483-05-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN CASTELLANO Y FILOSOFÍA"
"PREG-00882-06-00","UNIVERSIDAD CENTRAL DE CHILE","Acreditada",3,20,"No","Si",3,"PEDAGOGÍA EN MATEMÁTICA Y ESTADÍSTICA"
"PREG-00507-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",4,18,"Si","Si",5,"EDUCACIÓN DIFERENCIAL CON ESPECIALIDAD EN PROBLEMAS DE APRENDIZAJE"
"PREG-00512-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",4,20,"No","No",0,"PEDAGOGÍA EN EDUCACIÓN MEDIA MENCIÓN EDUCACIÓN FÍSICA"
"PREG-00514-04-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",6,20,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN INGLÉS"
"PREG-01473-03-00","UNIVERSIDAD DE TALCA","Acreditada",5,18,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN INGLÉS"
"PREG-00232-03-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN INGLÉS"
"PREG-00515-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",3,20,"No","No",0,"PEDAGOGÍA EN EDUCACIÓN MEDIA CON MENCIÓN EN LENGUA CASTELLANA Y COMUNICACIONES"
"PREG-00517-04-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",6,20,"No","Si",2,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y COMPUTACIÓN"
"PREG-00524-04-00","UNIVERSIDAD DE MAGALLANES","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA EN CASTELLANO Y COMUNICACIÓN PARA ENSEÑANZA MEDIA"
"PREG-00525-04-00","UNIVERSIDAD DE MAGALLANES","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN FÍSICA PARA ENSEÑANZA BÁSICA Y MEDIA"
"PREG-00526-04-00","UNIVERSIDAD DE MAGALLANES","No acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN HISTORIA Y CIENCIAS SOCIALES PARA ENSEÑANZA MEDIA"
"PREG-00527-05-00","UNIVERSIDAD DE MAGALLANES","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS PARA ENSEÑANZA BÁSICA Y MEDIA"
"PREG-01987-02-00","UNIVERSIDAD DE O HIGGINS","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA EN INGLÉS PARA ENSEÑANZA BÁSICA Y MEDIA"
"PREG-00218-05-00","UNIVERSIDAD BERNARDO O HIGGINS","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS PARA ENSEÑANZA BÁSICA Y MEDIA"
"PREG-00528-03-00","UNIVERSIDAD DE MAGALLANES","Acreditada",3,20,"No","Si",1,"PEDAGOGÍA EN MATEMÁTICA PARA ENSEÑANZA MEDIA"
"PREG-00536-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",3,18,"Si","No",0,"PEDAGOGÍA EN BIOLOGÍA Y CIENCIAS"
"PREG-00547-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",3,18,"No","No",0,"PEDAGOGÍA EN QUÍMICA Y CIENCIAS"
"PREG-01148-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",5,20,"Si","No",0,"PEDAGOGÍA EN ARTES VISUALES"
"PREG-00423-05-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN ARTES VISUALES"
"PREG-02056-01-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",2,20,"Si","Si",2,"PEDAGOGÍA EN ARTES VISUALES"
"PREG-00665-04-00","UNIVERSIDAD DEL BÍO-BÍO","No acreditada",3,20,"No","Si",2,"PEDAGOGÍA EN CIENCIAS NATURALES MENCIÓN BIOLOGÍA O FÍSICA O QUÍMICA"
"PREG-00668-04-00","UNIVERSIDAD DEL BÍO-BÍO","Acreditada",6,20,"No","Si",2,"PEDAGOGÍA EN EDUCACIÓN MATEMÁTICA"
"PREG-01989-03-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",2,6,"Si","Si",1,"PROGRAMA DE FORMACIÓN PEDAGÓGICA"
"PREG-01839-02-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",5,4,"No","No",0,"PROGRAMA DE FORMACIÓN PEDAGÓGICA"
"PREG-00156-06-00","UNIVERSIDAD ANDRÉS BELLO","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS PARA LA ENSEÑANZA BÁSICA Y MEDIA"
"PREG-00730-03-00","UNIVERSIDAD MAYOR","Acreditada",6,,,,,"PEDAGOGÍA EN ARTES MUSICALES PARA EDUCACIÓN BÁSICA Y MEDIA"
"PREG-00732-04-00","UNIVERSIDAD MAYOR","Acreditada",5,20,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN FÍSICA, DEPORTES Y RECREACIÓN PARA EDUCACIÓN BÁSICA Y MEDIA"
"PREG-00735-04-00","UNIVERSIDAD MAYOR","Acreditada",5,,,,,"PEDAGOGÍA EN INGLÉS PARA EDUCACIÓN BÁSICA Y MEDIA"
"PREG-01913-02-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",,20,"No","Si",1,"PEDAGOGÍA EN INGLÉS PARA EDUCACIÓN BÁSICA Y MEDIA"
"PREG-02051-02-00","UNIVERSIDAD DE ANTOFAGASTA","Acreditada",2,20,"Si","No",0,"PEDAGOGÍA EN INGLÉS PARA EDUCACIÓN BÁSICA Y MEDIA"
"PREG-00739-04-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",6,20,"No","No",0,"LICENCIATURA EN EDUCACIÓN CON MENCIÓN EN ALEMÁN Y PEDAGOGÍA EN ALEMÁN"
"PREG-00740-05-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",,20,"No","Si",1,"LICENCIATURA EN EDUCACIÓN CON MENCIÓN EN CASTELLANO Y PEDAGOGÍA EN CASTELLANO"
"PREG-00741-06-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",3,20,"No","Si",1,"LICENCIATURA EN EDUCACIÓN CON MENCIÓN EN FRANCÉS Y PEDAGOGÍA EN FRANCÉS"
"PREG-00743-05-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",5,20,"No","No",0,"LICENCIATURA EN EDUCACIÓN CON MENCIÓN EN INGLÉS Y PEDAGOGÍA EN INGLÉS"
"PREG-00744-06-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,20,"Si","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN ARTES VISUALES"
"PREG-00748-04-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",6,20,"No","Si",1,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN EDUCACIÓN FÍSICA, DEPORTES Y RECREACIÓN"
"PREG-00347-05-00","UNIVERSIDAD DE ATACAMA","Acreditada",4,18,"No","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00348-06-00","UNIVERSIDAD DE ATACAMA","Acreditada",4,18,"Si","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN EDUCACIÓN PARVULARIA"
"PREG-00756-05-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",,20,"No","Si",3,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN FILOSOFÍA"
"PREG-00516-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",6,20,"No","No",0,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN HISTORIA Y GEOGRAFÍA"
"PREG-01946-03-00","UNIVERSIDAD DE TALCA","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA, MENCIÓN INGLÉS"
"PREG-01164-04-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",4,18,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA"
"PREG-01197-04-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",4,8,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN TÉCNICA Y FORMACIÓN PROFESIONAL"
"PREG-01215-04-00","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","Acreditada",5,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL MENCIÓN EN DIFICULTADES ESPECÍFICAS Y SOCIOAFECTIVAS DEL APRENDIZAJE ESCOLAR"
"PREG-02020-02-00","UNIVERSIDAD DE TALCA","Acreditada",4,20,"Si","No",0,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN BIOLOGÍA Y QUÍMICA"
"PREG-01464-03-00","UNIVERSIDAD DE CHILE","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN BIOLOGÍA Y QUÍMICA"
"PREG-01247-03-00","UNIVERSIDAD DIEGO PORTALES","Acreditada",6,20,"Si","Si",9,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL CON MENCIÓN EN DESARROLLO COGNITIVO"
"PREG-01251-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA MEDIA EN FÍSICA"
"PREG-01252-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA MEDIA EN MATEMÁTICA"
"PREG-00260-04-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA MEDIA EN MATEMÁTICA"
"PREG-01253-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA MEDIA EN QUÍMICA"
"PREG-00134-03-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN MÚSICA MENCIÓN EDUCACIÓN EXTRAESCOLAR"
"PREG-00270-03-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",5,20,"No","Si",3,"PEDAGOGÍA EN EDUCACIÓN BÁSICA CON MENCIÓN"
"PREG-00571-04-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",6,20,"Si","No",0,"PEDAGOGÍA EN HISTORIA Y CIENCIAS SOCIALES/LICENCIATURA EN EDUCACIÓN EN HISTORIA Y CIENCIAS SOCIALES"
"PREG-00574-03-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN EN QUÍMICA Y BIOLOGÍA"
"PREG-00612-03-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",3,20,"No","Si",1,"PROFESOR DE EDUCACIÓN FÍSICA"
"PREG-00619-03-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",6,20,"No","Si",1,"PEDAGOGÍA EN FÍSICA Y MATEMÁTICA"
"PREG-01469-03-00","UNIVERSIDAD DE ANTOFAGASTA","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA MENCIÓN NECESIDADES EDUCATIVAS ESPECIALES"
"PREG-01386-03-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",6,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL CON MENCIÓN EN DIFICULTADES DEL APRENDIZAJE ESCOLAR"
"PREG-00247-04-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",6,20,"Si","Si",8,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL CON ESPECIALIDAD EN NECESIDADES EDUCATIVAS ESPECIALES TRANSITORIAS Y DEFICIENCIA MENTAL"
"PREG-00749-07-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",5,20,"No","No",0,"LICENCIATURA EN EDUCACIÓN Y PEDAGOGÍA EN MÚSICA"
"PREG-00750-05-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",3,20,"No","No",0,"LICENCIATURA EN EDUCACIÓN EN QUÍMICA Y PEDAGOGÍA EN QUÍMICA, MENCIÓN CIENCIAS NATURALES, O MENCIÓN EN EDUCACION EN ASTRONOMÍA O MENCIÓN EDUCACION EN TECNOLOGÍA O MENCIÓN INFORMÁTICA EDUCATIVA O MENCIÓN ESTADÍSTICA EDUCACIONAL"
"PREG-01508-03-00","UNIVERSIDAD ARTURO PRAT","Acreditada",,,,,,"EDUCACIÓN PARVULARIA INTERCULTURAL"
"PREG-00575-03-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",6,18,"Si","Si",1,"PEDAGOGÍA EN FÍSICA Y MATEMÁTICA / LICENCIATURA EN EDUCACIÓN DE FÍSICA Y MATEMÁTICA"
"PREG-00572-04-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN INGLÉS / LICENCIATURA EN EDUCACIÓN EN INGLÉS"
"PREG-01618-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN RELIGIÓN CATÓLICA"
"PREG-00746-04-00","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",5,20,"No","Si",1,"LICENCIATURA EN EDUCACIÓN EN FÍSICA Y PEDAGOGÍA EN FÍSICA CON MENCIÓN EN CIENCIAS NATURALES, O MENCIÓN EDUCACIÓN EN ASTRONOMÍA, O MENCIÓN EDUCACIÓN EN TECNOLOGÍA, O MENCIÓN INFORMÁTICA EDUCATIVA, O MENCIÓN ESTADÍSTICA EDUCACIONAL"
"PREG-01634-02-00","UNIVERSIDAD DE TALCA","Acreditada",5,16,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA, MENCIÓN EN ALEMÁN"
"PREG-01635-02-00","UNIVERSIDAD DE TALCA","Acreditada",4,16,"Si","Si",3,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN ALEMÁN"
"PREG-01636-03-00","UNIVERSIDAD DE TALCA","Acreditada",4,16,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN PARVULARIA, CON MENCIÓN EN ALEMÁN"
"PREG-01822-03-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL CON MENCIÓN EN DIFICULTADES ESPECÍFICAS DEL APRENDIZAJE"
"PREG-00511-05-00","UNIVERSIDAD DE LOS LAGOS","Acreditada",2,20,"No","No",0,"PEDAGOGÍA EN EDUCACIÓN MEDIA EN ARTES CON MENCIONES EN MÚSICA Y ARTES VISUALES"
"PREG-00165-05-00","UNIVERSIDAD ARTURO PRAT","Acreditada",3,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN FÍSICA PARA EL PRE ESCOLAR, BÁSICA Y MEDIA"
"PREG-00569-04-00","UNIVERSIDAD DE SANTIAGO DE CHILE","Acreditada",6,20,"No","Si",1,"PEDAGOGÍA EN CASTELLANO / LICENCIATURA EN EDUCACIÓN EN CASTELLANO"
"PREG-01439-03-00","UNIVERSIDAD DE ANTOFAGASTA","Acreditada",,20,"Si","Si",1,"PEDAGOGÍA EN EDUCACIÓN BÁSICA, MENCIONES LENGUAJE Y COMUNICACIÓN Y MATEMÁTICA"
